"","latitude","longitude","freq"
"797",33.68641,-117.66088,1
"798",33.705415,-108.761138,1
"799",33.71863,-116.30834,1
"800",33.719178,-84.002061,1
"801",33.72148,73.04329,2
"802",33.73974,-116.41279,1
"803",33.745573,-117.867834,2
"804",33.745851,-117.826166,4
"805",33.7488889,-84.3880556,1
"806",33.749,-84.38798,26
"807",33.75245,-117.993904,1
"808",33.752886,-116.055617,7
"809",33.753146,-118.367459,1
"810",33.755096,-84.402799,1
"811",33.756024,-118.201101,1
"812",33.757245,-117.750414,7
"813",33.76696,-118.18923,2
"814",33.767997,-85.172928,2
"815",33.7712,-111.3877,2
"816",33.77153,-84.22641,1
"817",33.77156,-78.784745,3
"818",33.773905,-117.941448,4
"819",33.786594,-118.298662,11
"820",33.787874,-117.852006,16
"821",33.797412,-84.197984,1
"822",33.798166,-90.978046,3
"823",33.801262,-117.148783,1
"824",33.803448,-118.168135,12
"825",33.81371,-85.76135,2
"826",33.8191,-80.9066,1
"827",33.83141,-118.28202,1
"828",33.83333,35.83333,2
"829",33.835665,-118.303805,3
"830",33.838529,-78.660551,1
"831",33.840572,-117.522825,1
"832",33.842567,-116.527996,2
"833",33.844371,-84.47405,51
"834",33.870292,-117.925338,4
"835",33.874815,-118.240208,1
"836",33.87983,-84.35159,1
"837",33.89585,-118.22007,1
"838",33.905544,-98.479881,2
"839",33.913678,-80.354238,1
"840",33.914775,-118.348083,1
"841",33.91667,76.66667,2
"842",33.924447,-118.218132,1
"843",33.937714,-118.193403,1
"844",33.942108,-118.417488,1
"845",33.952602,-84.549933,3
"846",33.953349,-117.396156,1
"847",33.960353,-84.037859,1
"848",33.96173,-84.02363,1
"849",33.96571,-81.07398,1
"850",33.973951,-118.248405,111
"851",33.979007,-118.457852,2
"852",33.98154,-81.23621,2
"853",33.981735,-91.5578,7
"854",33.987454,-81.024864,4
"855",33.988309,-83.879494,2
"856",33.992902,-83.353697,3
"857",33.993396,-118.465193,2
"858",33.997527,-81.097406,1
"859",33.998214,-118.394059,1
"860",34,9,5
"861",34.00043,-81.00009,26
"862",34.00168,-118.47202,1
"863",34.00473,-118.43091,1
"864",34.01945,-118.49119,2
"865",34.019454,-118.491191,4
"866",34.022789,-118.405633,1
"867",34.02665,-96.408962,1
"868",34.031415,-117.93647,2
"869",34.039034,-118.707992,3
"870",34.042286,-117.756106,1
"871",34.045611,-118.25043,1
"872",34.050272,-118.24334,1
"873",34.05223,-118.24368,101
"874",34.055198,-84.370475,1
"875",34.07062,-118.44455,1
"876",34.070628,-118.264756,1
"877",34.07251,-118.26063,1
"878",34.073202,-118.262019,1
"879",34.0739,-117.31365,1
"880",34.074331,-88.624898,1
"881",34.0901,-118.4065,1
"882",34.090728,-118.127527,2
"883",34.092017,-109.282882,2
"884",34.093828,-118.381697,2
"885",34.09668,-117.71978,1
"886",34.09834,-118.32674,5
"887",34.098343,-118.326743,11
"888",34.108345,-117.289765,1
"889",34.11195,-118.19896,1
"890",34.11417,-116.43224,1
"891",34.12331,-118.671028,1
"892",34.127398,-84.481787,1
"893",34.129737,-82.840971,7
"894",34.138897,-118.213962,3
"895",34.144013,-85.748018,1
"896",34.15112,-118.44925,2
"897",34.1528,-118.000482,1
"898",34.153733,-118.593408,2
"899",34.167227,-119.230664,6
"900",34.1692,-118.372498,1
"901",34.17051,-118.289463,1
"902",34.17334,-118.55397,1
"903",34.18084,-118.30897,2
"904",34.205503,-101.689923,1
"905",34.21639,-119.0376,1
"906",34.221257,-88.775002,1
"907",34.22593,-86.615271,1
"908",34.22834,-118.53675,4
"909",34.23314,-102.41075,71
